Table 8,,,,,,,,,,,,
NEW YORK,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,
"by City, 2013",,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Adams Village,"1,861",0,0,,0,0,0,12,2,10,0,0
Addison Town and Village,"2,577",3,0,,0,0,3,24,3,20,1,0
Akron Village,"2,846",3,0,,0,0,3,16,1,15,0,0
Albany,"97,956",791,8,,30,227,526,"4,090",705,"3,243",142,
Albion Village,"6,388",23,0,,3,4,16,223,53,165,5,
Alfred Village,"4,089",5,0,,0,3,2,46,10,36,0,
Allegany Village,"1,781",3,0,,0,0,3,10,0,10,0,0
Amherst Town,"118,296",107,1,,7,31,68,"2,118",204,"1,882",32,3
Amityville Village,"9,519",9,0,,2,4,3,210,16,188,6,1
Amsterdam,"18,182",30,0,,0,12,18,405,99,291,15,0
Arcade Village,"2,053",0,0,,0,0,0,39,3,35,1,0
Ardsley Village,"4,523",5,0,,0,3,2,33,4,28,1,0
Asharoken Village,658,0,0,,0,0,0,2,0,2,0,0
Attica Village,"2,522",2,0,,0,0,2,5,0,4,1,0
Auburn,"27,270",96,1,,20,22,53,859,132,721,6,
Avon Village,"3,333",1,0,,0,1,0,25,3,20,2,
Baldwinsville Village,"7,473",5,0,,0,1,4,88,10,77,1,0
Ballston Spa Village,"5,418",8,0,,0,3,5,94,16,78,0,1
Batavia,"15,374",57,0,,7,13,37,559,103,454,2,
Bath Village,"5,733",15,0,,1,3,11,191,32,157,2,2
Bedford Town,"17,627",5,0,,0,1,4,156,26,127,3,
Bethlehem Town,"34,243",13,0,,0,3,10,442,50,388,4,
Binghamton,"46,304",284,3,,19,101,161,"2,349",525,"1,767",57,
Black River,"1,410",0,0,,0,0,0,14,2,12,0,0
Blooming Grove Town,"12,001",8,0,,1,0,7,99,20,72,7,
Bolivar Village,"1,022",1,0,,0,0,1,4,2,2,0,0
Bolton Town,"2,325",2,0,,0,0,2,24,4,20,0,0
Boonville Village,"2,054",1,0,,0,0,1,20,6,14,0,0
Brant Town,"2,065",4,0,,0,1,3,31,9,20,2,0
Brewster,"2,358",0,0,,0,0,0,13,3,10,0,0
Briarcliff Manor Village,"7,976",1,0,,0,0,1,11,1,10,0,0
Brighton Town,"36,689",26,1,,2,10,13,793,142,623,28,
Brockport Village,"8,284",23,1,,1,5,16,165,29,132,4,
Bronxville Village,"6,390",0,0,,0,0,0,47,5,39,3,0
